homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
FC Koln,Stuttgart,0,0,2,0.1356,0.2593,0.6048,0.29468750000000005,0.5249999999999999,0.18031250000000004,0.064140625,0.5125,0.42335937500000004,-0.27863777089783276,12,-7,1.102182539682539,-0.06525573192239859,-0.031865720171641215,2.23,3.49,3.5,2.34,3.44,3.32
Hertha,Leverkusen,0,1,2,0.202,0.2343,0.5618,0.07999999999999999,0.6,0.32000000000000006,0.14749999999999996,0.55,0.3025,0.037151702786377694,4,8,-0.8439814814814817,0.046593906036630495,0.050317919190468186,5.49,3.88,1.72,5.02,3.74,1.81
Hoffenheim,Werder Bremen,1,2,2,0.5982,0.1052,0.1161,0.17257812499999997,0.48750000000000004,0.339921875,0.3400000000000001,0.6499999999999999,0.010000000000000037,0.631578947368421,-11,-5,0.9042328042328043,-0.03189701786193018,-0.038074011758222254,1.7,4.39,4.92,1.67,4.43,5.15
Paderborn,Hamburg,0,3,2,0.6399,0.294,0.0661,0.11593750000000001,0.725,0.1590625,0.26875,0.625,0.10625000000000001,0.368421052631579,-4,-4,-1.7722222222222226,0.09649341217968671,0.025333000333000344,2.57,3.49,2.9,2.48,3.45,3.05
Schalke 04,M'gladbach,1,0,2,0.3239,0.3839,0.2922,0.3175,0.30000000000000004,0.38249999999999995,0.3692968750000001,0.4624999999999999,0.16820312500000004,0.368421052631579,0,3,-1.1221560846560847,0.07872766122766123,0.046951943418269075,2.68,3.45,2.8,2.86,3.52,2.59
FC Koln,Paderborn,0,0,2,0.3263,0.4328,0.2409,0.355234375,0.6375,0.007265625000000053,0.146875,0.75,0.103125,0.05263157894736842,1,-4,-0.4404761904761907,-0.005555555555555564,-0.045264740133161174,1.95,3.58,4.37,2.0,3.5,4.25
Freiburg,Dortmund,0,3,2,0.4918,0.2664,0.241,0.23500000000000004,0.7,0.06500000000000002,0.37492187499999996,0.5875,0.03757812499999999,0.3408521303258146,-1,-1,-1.0063580246913575,0.03292713435515294,-0.09411361042733594,5.96,4.25,1.62,5.92,4.45,1.6
Hamburg,Hannover,2,1,2,0.2909,0.3187,0.3902,0.225,0.5499999999999999,0.22500000000000006,0.24414062499999997,0.6125,0.14335937499999998,0.1503759398496241,5,6,-0.9339285714285714,-0.025880637155146977,-0.007646702448941417,2.37,3.38,3.31,2.53,3.37,3.05
Mainz,Hertha,0,2,2,0.6616,0.1773,0.151,0.31937499999999996,0.65,0.030624999999999986,0.26875,0.625,0.10625000000000001,0.4210526315789474,-4,-3,1.1898148148148144,-0.08013468013468014,-0.08777784918135798,1.92,3.6,4.55,1.85,3.6,4.9
Stuttgart,Bayern Munich,0,2,2,0.0154,0.0914,0.8906,0.20718750000000002,0.475,0.3178125,-0.02195312499999999,0.5875,0.434453125,-0.6842105263157894,17,16,2.3228835978835987,-0.06014903712272133,0.0752178649237473,15.5,6.92,1.23,13.0,6.9,1.25
