home_team,away_team,home_goals,away_goals,month,p_home_win1,p_draw1,p_away_win1,p_home_win2,p_draw2,p_away_win2,p_home_win3,p_draw3,p_away_win3,oddHome,oddDraw,oddAway,d_accuracy,d_efficiency,d_vulnerability,d_points,d_global_rank,d_rank
Metz,Rennes,1,1,3,0.504,0.253,0.2416,0.16687499999999994,0.55,0.283125,0.4478125,0.425,0.12718749999999995,3.01,3.19,2.67,0.33108974358974397,0.1207563134033722,0.01103096250155075,0.46370370370370373,-1,6
Montpellier,Guingamp,1,1,3,0.6085,0.2141,0.1744,0.3296875,0.625,0.04531249999999998,0.437109375,0.6375,-0.07460937499999998,1.91,3.52,4.7,1.189089481946625,0.014679370044593076,-0.03833537494251779,0.5810983397190295,-5,1
Paris SG,Nancy,1,0,3,0.8084,0.1662,0.0251,0.525859375,0.4875,-0.013359375000000008,0.41875,0.5499999999999999,0.031250000000000056,1.14,9.7,23.0,-0.6929487179487182,0.08567553927937646,-0.034134902274,0.694763729246488,-6,-14
Lorient,Marseille,1,4,3,0.3439,0.2392,0.4126,0.04742187499999997,0.7125,0.240078125,0.208984375,0.6875,0.103515625,3.22,3.59,2.32,0.6175824175824189,-0.02705162484574246,0.0649673528424422,0.29629629629629634,6,13
Monaco,Nantes,4,0,3,0.8106,0.1127,0.0614,0.450859375,0.23750000000000004,0.311640625,0.466328125,0.23750000000000004,0.296171875,1.36,5.39,10.14,-1.5178876678876678,0.13136872554293372,-0.05643172187289838,0.6666666666666667,-4,-11
Toulouse,Lille,1,1,3,0.5463,0.2607,0.1924,0.38,0.55,0.06999999999999995,0.302578125,0.4125000000000001,0.28492187499999994,2.08,3.23,4.35,0.6322039072039072,0.09037702493584845,0.03492795540306849,0.4814814814814816,-1,-6
Marseille,Angers,3,0,3,0.6379,0.2339,0.1276,0.2803125000000001,0.225,0.4946875,0.30531249999999993,0.425,0.2696875,1.76,3.73,5.39,0.2635204081632647,0.02116062165266061,-0.07974702855010238,0.586206896551724,-4,-3
Nice,Caen,2,2,3,0.7773,0.1643,0.0573,0.499609375,0.3125,0.187890625,0.484375,0.25,0.265625,1.72,3.71,5.83,-0.6153061224489802,0.1365341999270571,-0.08181433964826273,0.9655172413793104,-14,-12
Guingamp,Bastia,5,0,3,0.5842,0.2687,0.1469,0.14156249999999998,0.675,0.1834375,0.2724218749999999,0.7375,-0.009921874999999995,1.63,4.03,6.31,-0.575824175824176,0.043689963882271574,-0.04177686424882961,0.6296296296296295,-7,-8
Monaco,Bordeaux,2,1,3,0.7448,0.1322,0.0988,0.46,0.2,0.3400000000000001,0.503828125,0.08750000000000002,0.408671875,1.47,4.84,7.47,-0.5586516657945233,0.10354699078842591,-0.04186703505142418,0.5351213282247764,-3,-5
Montpellier,Nantes,2,3,3,0.5711,0.2494,0.1787,0.25,0.5,0.25,0.325,0.5,0.17500000000000002,2.01,3.41,4.35,-0.10204081632653139,0.03761928431046074,-0.03903636046493192,0.34482758620689635,2,1
Nancy,Lille,1,2,3,0.2934,0.3784,0.3282,0.01960937500000004,0.7625,0.217890625,0.17500000000000002,0.5,0.325,2.87,3.02,2.94,1.6652319902319892,-0.00205156968650827,-0.001862362301922743,0.18135376756066413,9,1
Rennes,Dijon,1,1,3,0.6185,0.2233,0.1567,0.32460937500000003,0.6625,0.012890624999999987,0.31429687500000003,0.6375,0.04820312500000001,1.72,3.82,5.63,1.1718253968253975,-0.009074655503226947,-0.062167425245156296,0.7241379310344828,-12,-8
Lorient,Paris SG,1,2,3,0.0493,0.0953,0.8332,-0.08656249999999993,0.525,0.5615625,0.020000000000000014,0.4,0.58,11.82,6.22,1.29,0.9720083487940641,-0.07282996531946107,0.07985853432282,-0.4482758620689654,19,17
